name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Pre-Sales engineer (Сетевой инженер),Алматы,,,,2024-11-27T12:15:42+0300,"Abris Distribution Kazakhstan, Филиал Компании в Казахстане","Английский - чтение технической литературы. Понимание принципов и основ информационной <highlighttext>безопасности</highlighttext>. Понимание сетевых технологий, модели OSI. Общее понимание принципов проектирования и...",fullDay,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Менеджер по продвижению продукта,Алматы,350000.0,,KZT,2024-12-16T12:54:10+0300,DataMatrix Corp,опыт работы в сфере маркетинга продуктовой разработки. - умение проводить маркетинговые исследования и анализировать данные. - опыт разработки и реализации маркетинговых стратегий. - ,fullDay,HOURS_8,5/2,"Менеджер по маркетингу, интернет-маркетолог",От 1 года до 3 лет,full
QA инженер (manual+auto),Астана,,,,2024-11-22T15:02:50+0300,TargetAI Limited,"Четкое понимание принципов работы веб-приложений. Опыт функционального тестирования веб-приложений и API. Знание сетевых протоколов (TCP/UDP/IP, HTTP...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Middle QA Automation Engineer,Астана,,,,2024-12-16T14:26:25+0300,Талисман качества,"English level: Intermediate +. - Strong experience with C#. - Knowledge of SQL and API Fundamentals (HTTP methods, statuses, request/response structure). - ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
DevOps-инженер (Senior),Астана,,,,2024-11-27T11:30:22+0300,Movavi,Опыт работы на схожей позиции от пяти лет. Уверенная работа с Git. Знание и опыт построения CI/CD Jenkins или...,remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Senior Backend Engineer (Python),Алматы,,,,2024-12-09T11:49:52+0300,Termius,"Solid understanding of system design principles (e.g., scalability, <highlighttext>security</highlighttext>). Experience with version control systems (e.g., Git). ",remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Pre-Sale Engineer VAD & Cybersecurity,Алматы,,,,2024-11-20T10:08:14+0300,Elcore Distribution KZ  (Элкор Дистрибьюшн КЗ),Практические знания на уровне <highlighttext>инженера</highlighttext> технической поддержки продаж (Pre-Sale <highlighttext>Engineer</highlighttext>) или архитектора в одном или нескольких направлениях: Корпоративных сети...,fullDay,HOURS_8,5/2,"Менеджер по продажам, менеджер по работе с клиентами",От 1 года до 3 лет,full
DevOps инженер,Алматы,,,,2024-11-28T08:42:11+0300,"Beeline, ТМ","Знание инструментов автоматизации развертывания Ansible. Понимание принципов сетевой <highlighttext>безопасности</highlighttext>. Опыт работы с промышленными системами автоматизации работы предприятий, с биллинговыми и...",remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Data Analyst for HR,Алматы,,,,2024-12-15T13:32:52+0300,Неткрэкер Текнолоджи Казахстан,...data-driven answers to business questions. Excellent verbal and written communication skills. Experience in software <highlighttext>engineering</highlighttext> and telecom industry (preferred).,fullDay,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Менеджер по продажам продуктов Информационной безопасности,Астана,,,,2024-12-17T12:26:54+0300,Bolashak Engineering,"...решения в области информационной <highlighttext>безопасности</highlighttext> (системные интеграторы, вендоры, дистрибуторы и т.п.). Знание основ информационной <highlighttext>безопасности</highlighttext>, основных направлений и технических...",fullDay,HOURS_8,5/2,Другое,От 1 года до 3 лет,full
