name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
IT-рекрутер,Алматы,,,,2024-11-29T14:42:30+0300,Globerce Inc.,Какие навыки нужны? Знание IT-рынка и опыт в IT рекрутинге обязателен*. Навыки сорсинга. Коммуникабельность. Навыки интервьюирования. Организованность. ,fullDay,HOURS_8,5/2,Специалист по подбору персонала,Нет опыта,full
HR специалист,Астана,300000.0,,KZT,2024-11-18T07:51:34+0300,TEQ World,"Опыт поиска и подбора специалистов в IT-сфере от 1 года (разработка, <highlighttext>DevOps</highlighttext>, тестирование и др.). Опыт проведения интервью, оценки...",fullDay,HOURS_8,5/2,Менеджер по персоналу,От 1 года до 3 лет,full
DevOps specialist,Алматы,,,,2024-12-08T14:57:48+0300,ДиджиталБизФэктори,"Опыт работы с системами логирования (Vector, Elasticsearch/Opensearch). Приверженность лучшим практикам: <highlighttext>DevOps</highlighttext>, SRE, CI/CD, IaC. Опыт работы с инструментами...",fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
MLOps Engineer,Алматы,100000.0,100000.0,RUR,2024-12-08T14:05:33+0300,ИнтеллектДиалог,"JupyterHub. MLflow. GitLab. Ansible. Apache Spark + Ray. DVC. Опыт развертывания, эксплуатации LLM моделей.",remote,HOURS_2,По выходным,Дата-сайентист,От 1 года до 3 лет,part
DevOps инженер (Ментор),Алматы,250000.0,350000.0,KZT,2024-12-03T13:29:12+0300,itcbootcamp ( айтисибууткэмп),"Хорошее знания AWS cloud(опыт администрирования не менее одногогода). Опыт работы с инструментами <highlighttext>DevOps</highlighttext> - Ansible, Terraform. Опыт работы с инструментами...",flexible,HOURS_2,5/2,DevOps-инженер,От 1 года до 3 лет,part
DevOps-инженер,Астана,,,,2024-12-05T14:10:40+0300,Intelligent Digital Solutions,"Знание CI/CD процессов на GitLab. Умение работать с базами данных PostgreSQL и аналитическими системами (ClickHouse, Kafka). Навыки настройки и...",fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Middle DevOps Engineer,Алматы,2500.0,,USD,2024-11-21T11:28:27+0300,ЧАСТНАЯ КОМПАНИЯ MD KZ LTD.,AWS Experience: Minimum 2 years of hands-on experience in commercial AWS projects. Cloud Mastery: Deep understanding of cloud concepts...,remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Middle/Senior DevOps,Алматы,,,,2024-11-20T12:49:54+0300,BTS Digital,Не менее пяти лет работаете с Linux и открытым ПО. Умеете автоматизировать и программировать на любом из выбранных вами языках. ,remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Senior Java Backend Developer (Роль – Lead разработки),Астана,,,,2024-12-15T07:43:44+0300,Platonus,"Опыт работы с Java (8+) от 5 лет. Уверенное знание Spring Framework (Spring Boot, Spring Security, Spring Data). ",fullDay,HOURS_8,5/2,Руководитель группы разработки,От 3 до 6 лет,full
Специалист по IT,Караганда,,,,2024-12-16T15:29:33+0300,itsheff.kz,Желание и умение обучаться. Умение вести диалог с клиентом. Знание операционных систем семейства Microsoft Windows. Любить людей и любить помогать. ,shift,HOURS_12,2/2,Специалист технической поддержки,От 1 года до 3 лет,full
System Engineer (DevOps),Алматы,,,,2024-12-12T13:46:07+0300,Andersen,Must-haves: - Experience as a <highlighttext>DevOps</highlighttext> Engineer for 2+ years. - Strong knowledge and experience with AWS. - Experience with Docker...,remote,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Senior Backend Developer,Алматы,,,,2024-12-02T12:22:52+0300,BTS Digital,"Опыт работы с контейнеризацией и оркестрацией (например, Docker, Kubernetes). Знание принципов <highlighttext>DevOps</highlighttext> и опыт работы с CI/CD инструментами (например...",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Team Lead Back-End,Алматы,,,,2024-11-28T15:23:46+0300,Grand era,Опыт работы с Java Spring Boot от 3-х лет. Желание развиваться как Team Lead. Развитые софт скиллы. ,fullDay,HOURS_8,5/2,Руководитель группы разработки,От 3 до 6 лет,full
Разработчик БД MS SQL Server,Алматы,,,,2024-12-17T07:43:56+0300,"ALSECO, АО","Инструментарий разработчика: Postman, Консоль разработчика браузера. Git, JIRA. Базовые навыки <highlighttext>DevOps</highlighttext> (развёртывание и настройка прикладного программного обеспечения, навыки работы в...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
